grid,county,state,place,gradient
33145.0,Itasca,MN,"Itasca County, MN",1296.0
33146.0,Itasca,MN,"Itasca County, MN",1305.0
33147.0,Itasca,MN,"Itasca County, MN",1314.0
33148.0,Itasca,MN,"Itasca County, MN",1323.0
33149.0,St. Louis,MN,"St. Louis County, MN",1332.0
33150.0,St. Louis,MN,"St. Louis County, MN",1341.0
33151.0,St. Louis,MN,"St. Louis County, MN",1350.0
33152.0,St. Louis,MN,"St. Louis County, MN",1359.0
33153.0,St. Louis,MN,"St. Louis County, MN",1368.0
33154.0,Lake,MN,"Lake County, MN",1377.0
33155.0,Lake,MN,"Lake County, MN",1386.0
33156.0,Lake,MN,"Lake County, MN",1395.0
33157.0,Cook,MN,"Cook County, MN",1404.0
32834.0,Norman,MN,"Norman County, MN",1330.0
32835.0,Norman,MN,"Norman County, MN",1340.0
32836.0,Norman,MN,"Norman County, MN",1350.0
32837.0,Mahnomen,MN,"Mahnomen County, MN",1360.0
32838.0,Mahnomen,MN,"Mahnomen County, MN",1370.0
32839.0,Clearwater,MN,"Clearwater County, MN",1380.0
32840.0,Hubbard,MN,"Hubbard County, MN",1390.0
32841.0,Hubbard,MN,"Hubbard County, MN",1400.0
32842.0,Cass,MN,"Cass County, MN",1410.0
32843.0,Cass,MN,"Cass County, MN",1420.0
32844.0,Cass,MN,"Cass County, MN",1430.0
32845.0,Itasca,MN,"Itasca County, MN",1440.0
32846.0,Itasca,MN,"Itasca County, MN",1450.0
32847.0,Itasca,MN,"Itasca County, MN",1460.0
32848.0,Itasca,MN,"Itasca County, MN",1470.0
32849.0,St. Louis,MN,"St. Louis County, MN",1480.0
32850.0,St. Louis,MN,"St. Louis County, MN",1490.0
32851.0,St. Louis,MN,"St. Louis County, MN",1500.0
32852.0,St. Louis,MN,"St. Louis County, MN",1510.0
32853.0,St. Louis,MN,"St. Louis County, MN",1520.0
32854.0,Lake,MN,"Lake County, MN",1530.0
32855.0,Lake,MN,"Lake County, MN",1540.0
32534.0,Clay,MN,"Clay County, MN",1463.0
32535.0,Clay,MN,"Clay County, MN",1474.0
32536.0,Becker,MN,"Becker County, MN",1485.0
32537.0,Becker,MN,"Becker County, MN",1496.0
32538.0,Becker,MN,"Becker County, MN",1507.0
32539.0,Becker,MN,"Becker County, MN",1518.0
32540.0,Hubbard,MN,"Hubbard County, MN",1529.0
32541.0,Hubbard,MN,"Hubbard County, MN",1540.0
32542.0,Cass,MN,"Cass County, MN",1551.0
32543.0,Cass,MN,"Cass County, MN",1562.0
32544.0,Cass,MN,"Cass County, MN",1573.0
32545.0,Cass,MN,"Cass County, MN",1584.0
32546.0,Itasca,MN,"Itasca County, MN",1595.0
32547.0,Itasca,MN,"Itasca County, MN",1606.0
32548.0,Itasca,MN,"Itasca County, MN",1617.0
32549.0,St. Louis,MN,"St. Louis County, MN",1628.0
32550.0,St. Louis,MN,"St. Louis County, MN",1639.0
32551.0,St. Louis,MN,"St. Louis County, MN",1650.0
32552.0,St. Louis,MN,"St. Louis County, MN",1661.0
32553.0,St. Louis,MN,"St. Louis County, MN",1672.0
32554.0,Lake,MN,"Lake County, MN",1683.0
32234.0,Clay,MN,"Clay County, MN",1596.0
32235.0,Clay,MN,"Clay County, MN",1608.0
32236.0,Becker,MN,"Becker County, MN",1620.0
32237.0,Becker,MN,"Becker County, MN",1632.0
32238.0,Becker,MN,"Becker County, MN",1644.0
32239.0,Becker,MN,"Becker County, MN",1656.0
32240.0,Hubbard,MN,"Hubbard County, MN",1668.0
32241.0,Hubbard,MN,"Hubbard County, MN",1680.0
32242.0,Cass,MN,"Cass County, MN",1692.0
32243.0,Cass,MN,"Cass County, MN",1704.0
32244.0,Cass,MN,"Cass County, MN",1716.0
32245.0,Cass,MN,"Cass County, MN",1728.0
32246.0,Aitkin,MN,"Aitkin County, MN",1740.0
32247.0,Aitkin,MN,"Aitkin County, MN",1752.0
32248.0,Aitkin,MN,"Aitkin County, MN",1764.0
32249.0,St. Louis,MN,"St. Louis County, MN",1776.0
32250.0,St. Louis,MN,"St. Louis County, MN",1788.0
32251.0,St. Louis,MN,"St. Louis County, MN",1800.0
32252.0,St. Louis,MN,"St. Louis County, MN",1812.0
31934.0,Wilkin,MN,"Wilkin County, MN",1729.0
31935.0,Wilkin,MN,"Wilkin County, MN",1742.0
31936.0,Otter Tail,MN,"Otter Tail County, MN",1755.0
31937.0,Otter Tail,MN,"Otter Tail County, MN",1768.0
31938.0,Otter Tail,MN,"Otter Tail County, MN",1781.0
31939.0,Otter Tail,MN,"Otter Tail County, MN",1794.0
31940.0,Wadena,MN,"Wadena County, MN",1807.0
31941.0,Wadena,MN,"Wadena County, MN",1820.0
31942.0,Cass,MN,"Cass County, MN",1833.0
31943.0,Cass,MN,"Cass County, MN",1846.0
31944.0,Crow Wing,MN,"Crow Wing County, MN",1859.0
