grid,statefp,county,state
32251.0,27.0,St. Louis,MN
32252.0,27.0,St. Louis,MN
31934.0,27.0,Wilkin,MN
31935.0,27.0,Wilkin,MN
31936.0,27.0,Otter Tail,MN
31937.0,27.0,Otter Tail,MN
31938.0,27.0,Otter Tail,MN
31939.0,27.0,Otter Tail,MN
31940.0,27.0,Wadena,MN
31941.0,27.0,Wadena,MN
31942.0,27.0,Cass,MN
31943.0,27.0,Cass,MN
31944.0,27.0,Crow Wing,MN
31945.0,27.0,Crow Wing,MN
31946.0,27.0,Aitkin,MN
31947.0,27.0,Aitkin,MN
31948.0,27.0,Aitkin,MN
31949.0,27.0,Carlton,MN
31950.0,27.0,Carlton,MN
31951.0,27.0,Carlton,MN
31634.0,27.0,Wilkin,MN
31635.0,27.0,Wilkin,MN
31636.0,27.0,Otter Tail,MN
31637.0,27.0,Otter Tail,MN
31638.0,27.0,Otter Tail,MN
31639.0,27.0,Otter Tail,MN
31640.0,27.0,Wadena,MN
31641.0,27.0,Wadena,MN
31642.0,27.0,Cass,MN
31643.0,27.0,Cass,MN
31644.0,27.0,Crow Wing,MN
31645.0,27.0,Crow Wing,MN
31646.0,27.0,Aitkin,MN
31647.0,27.0,Aitkin,MN
31648.0,27.0,Aitkin,MN
31649.0,27.0,Pine,MN
31650.0,27.0,Pine,MN
31651.0,27.0,Pine,MN
31335.0,27.0,Wilkin,MN
31336.0,27.0,Otter Tail,MN
31337.0,27.0,Otter Tail,MN
31338.0,27.0,Otter Tail,MN
31339.0,27.0,Otter Tail,MN
31340.0,27.0,Todd,MN
31341.0,27.0,Todd,MN
31342.0,27.0,Morrison,MN
31343.0,27.0,Morrison,MN
31344.0,27.0,Morrison,MN
31345.0,27.0,Morrison,MN
31346.0,27.0,Mille Lacs,MN
31347.0,27.0,Kanabec,MN
31348.0,27.0,Kanabec,MN
31349.0,27.0,Pine,MN
31350.0,27.0,Pine,MN
31351.0,27.0,Pine,MN
31035.0,27.0,Traverse,MN
31036.0,27.0,Grant,MN
31037.0,27.0,Grant,MN
31038.0,27.0,Douglas,MN
31039.0,27.0,Douglas,MN
31040.0,27.0,Todd,MN
31041.0,27.0,Todd,MN
31042.0,27.0,Morrison,MN
31043.0,27.0,Morrison,MN
31044.0,27.0,Morrison,MN
