month,pdsi_d0,pdsi_d1,pdsi_d2,pdsi_d3,pdsi_d4,pdsi_dsci,function,location
1962-05,22.37057716817382,11.051769132730472,1.6872003398676942,0.32166049644959643,0.024276263882988407,50.94373975845117,Percent Area,Contiguous United States
1962-06,21.229592765673363,10.633003580748923,1.7296838016629241,0.17600291315166594,0.012138131941494204,48.44935364447412,Percent Area,Contiguous United States
1962-07,20.379923529768767,10.007889785761972,2.682527159070219,0.21241730897614855,0.024276263882988407,49.4143351338229,Percent Area,Contiguous United States
1962-08,18.595618134369122,16.85986526673545,4.685318929416763,0.3155914304788493,0.024276263882988407,67.75505249742065,Percent Area,Contiguous United States
1962-09,21.63015111974267,12.332342052558111,3.283364690174182,0.3277295624203435,0.012138131941494204,57.51653820477028,Percent Area,Contiguous United States
1962-10,20.252473144383078,12.465861503914548,3.762820901863203,0.4551799478060326,0.018207197912241308,58.38441463858712,Percent Area,Contiguous United States
1962-11,20.385992595739516,14.468653274261092,5.456090307701645,0.5644231352794805,0.024276263882988407,68.07064392789948,Percent Area,Contiguous United States
1962-12,20.786550949808824,16.623171693876312,7.507434605814166,1.6143715482187293,0.20027917703465437,84.01408023305213,Percent Area,Contiguous United States
1963-01,23.56011409844025,18.30430296777326,9.261394671360078,2.5854221035382654,0.594768465133216,101.26843478788615,Percent Area,Contiguous United States
1963-02,23.86963646294835,16.969108454208897,10.796868361959094,3.483643867208837,1.3230563816228682,110.74831583419311,Percent Area,Contiguous United States
1963-03,22.018571341870484,17.73987983249378,10.966802209140013,3.7081993081264795,1.5718880864234994,113.09097529890151,Percent Area,Contiguous United States
1963-04,22.485889421618012,18.814104509316014,11.543363476360987,3.526127329004066,1.3898161073010864,115.7977787218547,Percent Area,Contiguous United States
1963-05,21.660496449596405,19.287491655034287,12.81786733021788,5.5228500333798625,2.3426594647083814,132.49377920737996,Percent Area,Contiguous United States
1963-06,21.09000424834618,20.62268616859865,13.333737937731382,5.553195363233598,1.6325787461309704,132.71226558232686,Percent Area,Contiguous United States
1963-07,19.141834071736362,19.554530557747164,14.711415913090974,6.0994113006008375,1.9360320446683257,136.4629483522486,Percent Area,Contiguous United States
1963-08,20.914001335194513,19.66984281119136,13.145596892638222,5.182982339018025,0.4976634096012624,122.91072403957031,Percent Area,Contiguous United States
1963-09,21.915397220367787,18.595618134369122,11.865023972810585,4.715664259270498,0.5765612672209747,116.44716878072465,Percent Area,Contiguous United States
1963-10,20.719791224130606,19.54239242580567,16.301511197426716,10.620865448807429,3.598956120653032,169.18735206651695,Percent Area,Contiguous United States
1963-11,18.540996540632396,20.62268616859865,16.422892516841657,10.13534017114766,4.2240699156399835,170.71675669114524,Percent Area,Contiguous United States
1963-12,17.87946834982096,20.598409904715666,16.08302482247982,10.511622261333981,7.040116526066638,184.57243430236088,Percent Area,Contiguous United States
1964-01,18.1161619226801,21.041451720580202,13.958851732718337,9.868301268434788,8.81835285549554,185.64058991321235,Percent Area,Contiguous United States
1964-02,22.443405959822783,21.411664744795775,11.822540511015355,9.055046428354677,10.815075559871335,191.02992049523579,Percent Area,Contiguous United States
1964-03,23.663288219942952,23.026036293014503,12.283789524792134,6.560660314377617,7.731990046731808,171.46932087151785,Percent Area,Contiguous United States
1964-04,25.059173393214785,21.660496449596405,10.887904351520302,5.176913273047278,3.689992110214238,140.20149299022881,Percent Area,Contiguous United States
1964-05,23.256660799902896,25.016689931419556,13.03028463919403,5.832372397887966,3.289433756144929,152.15755295260058,Percent Area,Contiguous United States
1964-06,18.273957637919523,24.67075317108697,14.753899374886206,5.838441463858713,2.876737270134126,149.61461431085758,Percent Area,Contiguous United States
1964-07,17.24221642289252,21.21745463373187,16.58675729805183,7.938338289737209,3.3744006797353885,158.06275414213752,Percent Area,Contiguous United States
1964-08,16.36220185713419,20.179644352734112,14.213752503489713,8.08399587303514,2.0027917703465437,141.7126904169448,Percent Area,Contiguous United States
1964-09,18.601687200339867,17.34539054439522,13.35801420161437,6.439278994962676,1.2380894580324087,125.31407416398616,Percent Area,Contiguous United States
1964-10,18.170783516416826,18.09188565879711,14.863142562359652,9.686229289312374,3.362262547793895,154.50021241730894,Percent Area,Contiguous United States
1964-11,17.594222249195848,17.673120106815563,12.708624142744432,7.81088790435152,3.890271287248893,141.7612429447108,Percent Area,Contiguous United States
1964-12,15.5003944892881,15.312253444194937,10.924318747344785,6.7670085573830185,4.812769314802452,130.02973842325667,Percent Area,Contiguous United States
1965-01,14.935971354008618,15.567154214966317,11.221702979911392,6.299690477635492,3.3501244158524006,121.68477271347939,Percent Area,Contiguous United States
1965-02,16.240820537719244,15.099836135218789,10.881835285549554,3.6778539782727435,1.9299629786975785,103.44722947138436,Percent Area,Contiguous United States
1965-03,17.224009224980275,16.36220185713419,8.660557140256115,2.78570128057292,1.662924075984706,95.38750986223219,Percent Area,Contiguous United States
1965-04,16.271165867572982,12.441585240031559,8.830490987437035,2.870668204163379,0.9042908296413182,83.64993627480732,Percent Area,Contiguous United States
1965-05,18.40747708927596,13.133458760696728,7.361777022516234,3.289433756144929,1.4505067670085574,87.16999453784062,Percent Area,Contiguous United States
1965-06,16.865934332706196,11.871093038781332,5.9173393214784245,2.5065242459185533,1.6750622079262003,76.76154639800934,Percent Area,Contiguous United States
1965-07,13.673605632093222,11.919645566547308,6.439278994962676,2.7735631486314256,1.8328579231656248,77.08927596042969,Percent Area,Contiguous United States
1965-08,13.989197062572071,11.337015233355586,4.806700248831705,2.1181040237907385,1.2077441281786732,65.59446501183469,Percent Area,Contiguous United States
1965-09,12.27165139285064,7.5377799356679,3.20446683255447,1.9906536384050495,0.952843357407295,49.68744310250652,Percent Area,Contiguous United States
1965-10,14.407962614553622,8.156824664684105,3.9995144747223406,1.8146507252533834,0.8071857741093647,54.01468713964921,Percent Area,Contiguous United States
1965-11,14.128785579899253,10.068580445469442,5.334708988286703,1.7539600655459124,1.2198822601201675,63.38532499848274,Percent Area,Contiguous United States
1965-12,12.277720458821387,12.308065788675123,6.026582508951872,2.3851429265036113,2.190932815439704,75.46883534624021,Percent Area,Contiguous United States
1966-01,13.430842993263337,10.881835285549554,5.104084481398313,2.3608666626206225,2.251623475147175,71.20835103477575,Percent Area,Contiguous United States
1966-02,13.515809916853797,10.851489955695818,4.309036839230442,2.0392061661710263,1.189536930266432,62.25040966195302,Percent Area,Contiguous United States
1966-03,16.890210596589185,12.235236997026158,5.783819870121988,2.5065242459185533,1.5900952843357408,76.68871760636037,Percent Area,Contiguous United States
1966-04,18.656308794076594,14.037749590338047,5.098015415427565,2.1727256175274623,1.0438793469685015,75.93615342598774,Percent Area,Contiguous United States
