month,spei1_d0,spei1_d1,spei1_d2,spei1_d3,spei1_d4,spei1_dsci,function,location
1895-02,9.570559537432995,18.62314039631392,6.589170631813528,11.166656628320183,1.2829006805998915,117.66548214178161,Percent Area,Contiguous United States
1895-03,16.671685839908452,23.206649400710717,5.1737637776305485,3.499367584171535,0.10239113413238572,93.1157019815696,Percent Area,Contiguous United States
1895-04,14.491356983677647,36.71625609829549,8.61892429079082,7.86604830452328,0.2951273866168765,146.7204722038186,Percent Area,Contiguous United States
1895-05,9.088718906221766,13.883033186773474,2.2526049509124855,0.6685538758055773,0.0,46.28681563572847,Percent Area,Contiguous United States
1895-06,9.052580858880924,14.057700415587545,3.6258507498644823,3.156056134433536,0.2650123471661748,61.994820213214474,Percent Area,Contiguous United States
1895-07,5.980846834909354,4.0293922785038845,0.8131060651689453,0.4517255917605252,0.006023007890140336,18.315966993916764,Percent Area,Contiguous United States
1895-08,13.322893452990423,10.516171776185027,1.234716617478769,0.7107149310365596,0.024092031560561344,41.02270673974583,Percent Area,Contiguous United States
1895-09,9.739203758356924,20.21923748720111,13.25061735830874,13.184364271517197,1.1865325543576464,148.59965066554238,Percent Area,Contiguous United States
1895-10,17.273986628922483,21.845449617538996,3.04161898452087,7.510690839004999,0.2710353550563151,101.48768294886467,Percent Area,Contiguous United States
1895-11,8.040715533337348,9.359754261278082,0.2469433234957538,0.024092031560561344,0.0,27.59742215262302,Percent Area,Contiguous United States
1895-12,12.762753719207373,7.33602361019093,1.6382581461181716,2.385111124495573,0.012046015780280672,41.95024995482744,Percent Area,Contiguous United States
1896-01,11.99783171715955,10.04035415286394,2.6079624164307655,4.252243570439077,0.590254773233753,59.8626754201048,Percent Area,Contiguous United States
1896-02,11.30518580979341,22.309221225079806,5.408661085346022,4.463048846593989,0.24092031560561344,91.2064084803951,Percent Area,Contiguous United States
1896-03,13.202433295187616,9.257363127145696,0.21080527615491176,0.16262121303378907,0.0,33.0000602300789,Percent Area,Contiguous United States
1896-04,9.124856953562608,9.907847979280852,5.848340661326266,11.65452026742155,2.9271818346082035,107.73956513883032,Percent Area,Contiguous United States
1896-05,6.697584773836053,19.35794735891104,7.607058965247244,8.673131361802083,4.806360296331988,126.95898331626815,Percent Area,Contiguous United States
1896-06,13.28073239775944,25.29061013069927,6.336204300427633,4.716015177979884,0.20478226826477144,102.75853761368427,Percent Area,Contiguous United States
1896-07,5.956754803348793,6.878275010540263,1.469613925194242,4.83045232789255,1.2588086490393302,49.7379991567789,Percent Area,Contiguous United States
1896-08,17.466722881406973,20.03252424260676,5.0653496356080225,3.9631391917123415,0.16262121303378907,89.39348310546288,Percent Area,Contiguous United States
1896-09,4.451002830813708,3.3367463711377465,0.5962777811238933,0.1505751972535084,0.0,13.515629705474916,Percent Area,Contiguous United States
1896-10,13.756550021080526,10.0343311449738,0.16864422092392942,0.012046015780280672,0.0,34.379329036921035,Percent Area,Contiguous United States
1896-11,5.246039872312233,2.2706739745829068,0.5300246943323496,0.018069023670421007,0.0,11.449737999156778,Percent Area,Contiguous United States
1896-12,8.522556164548575,21.026320544479912,8.317773896283805,20.725170149972897,6.595193639703669,191.40516774076974,Percent Area,Contiguous United States
1897-01,6.824067939529001,10.486056736734325,1.4334758778534,0.8131060651689453,0.0,35.34903330723363,Percent Area,Contiguous United States
1897-02,5.619466361500933,3.8306330181292534,2.1682828404505208,2.0719147142082757,0.012046015780280672,28.133469854845504,Percent Area,Contiguous United States
1897-03,1.8671324459435041,1.0841414202252604,0.34933445762813947,0.3914955128591219,0.680599891585858,10.05240016864422,Percent Area,Contiguous United States
1897-04,14.220321628621333,12.967535987472143,1.3973378305125579,1.3913148226224177,0.18671324459435043,50.84623260856472,Percent Area,Contiguous United States
1897-05,9.721134734686503,28.45871228091309,10.630608926097693,10.395711618382219,2.7705836294645545,153.9661506956574,Percent Area,Contiguous United States
1897-06,7.16135638137686,5.8061796060952835,0.9877732939830152,1.5539360356562066,0.018069023670421007,28.043124736493404,Percent Area,Contiguous United States
1897-07,8.835752574835873,5.74594952719388,1.5720050593266275,0.9395892308618925,0.06023007890140336,29.1031741251581,Percent Area,Contiguous United States
1897-08,14.292597723303018,15.515268325001506,4.722038185870024,3.8426790339095342,0.34331144973799915,76.57652231524423,Percent Area,Contiguous United States
1897-09,9.106787929892187,15.858579774739503,6.342227308317774,16.762030958260553,9.401915316509065,173.90832981991204,Percent Area,Contiguous United States
1897-10,10.383665602601939,11.64247425164127,4.914774438354514,9.937963018731555,3.4511835210504125,105.42070710112631,Percent Area,Contiguous United States
1897-11,15.274348009395892,23.549960850448713,2.6561464795518885,0.5661627416731916,0.0,72.60736011564175,Percent Area,Contiguous United States
1897-12,9.010419803649942,5.613443353610793,0.2891043787267361,0.012046015780280672,0.0,21.152803710172858,Percent Area,Contiguous United States
1898-01,9.504306450641451,13.190387279407338,4.517255917605252,4.372703728241884,0.006023007890140336,66.95777871469012,Percent Area,Contiguous United States
1898-02,11.756911401553936,21.556345238812263,7.432391736433175,10.811299162801904,0.32524242606757814,122.0381858700235,Percent Area,Contiguous United States
1898-03,9.383846292838644,12.208636993314462,3.9149551285912185,2.2526049509124855,0.018069023670421007,54.646750587243275,Percent Area,Contiguous United States
1898-04,14.641932180931159,19.586821658736373,4.511232909715112,3.39697645003915,0.1325061735830874,81.59971089562129,Percent Area,Contiguous United States
1898-05,5.288200927543215,5.0171655724869,2.2526049509124855,5.667650424622056,0.5240016864422092,47.37095705595374,Percent Area,Contiguous United States
