max,min,index
2.104648352,-2.098544836,eddi1
2.104648352,-2.098544836,eddi10
2.104648352,-2.098544836,eddi11
2.104648352,-2.098544836,eddi12
2.104648352,-2.098544836,eddi2
2.104648352,-2.098544836,eddi3
2.104648352,-2.098544836,eddi4
2.104648352,-2.098544836,eddi5
2.104648352,-2.098544836,eddi6
2.104648352,-2.098544836,eddi7
41.0304985,-28.29999924,eddi8
18.46179771,-13.1272316,eddi9
19.07825279,-9.230917931,mdn1
16,-9.388415337,pdsi
4.391794682,-8.040962219,pdsisc
4.319247723,-5.790486336,pdsiz
4.105068684,-5.083176136,spei1
4.118137836,-4.767177105,spei10
4.897004128,-7.404253483,spei11
4.292759418,-6.006835938,spei12
4.456145763,-5.414984703,spei2
3.94344449,-4.180827618,spei3
4.090328693,-5.262356281,spei4
4.480373859,-5.476804256,spei5
4.173728943,-4.844168186,spei6
4.22865963,-5.13818121,spei7
3.507287264,-4.254145145,spei8
3.775640726,-5.16632843,spei9
3.80082345,-5.16632843,spi1
3.761376858,-5.16632843,spi10
3.612368345,-5.16632843,spi11
3.834282398,-5.16632843,spi12
3.624192238,-4.210200787,spi2
3.853606939,-4.328326702,spi4
4.12525177,-4.820525169,spi5
3.785505533,-5.16632843,spi6
3.716565609,-5.16632843,spi7
3.785505533,-5.16632843,spi8
3.716565609,-5.16632843,spi9
