max,min,index
41.048500061035156,-28.299999237060547,mdn1
18.4617977142334,-13.12723159790039,pdsi
19.0782527923584,-9.230917930603027,pdsisc
16.0,-9.388415336608887,pdsiz
4.55806303024292,-8.040962219238281,spei1
4.319247722625732,-5.7904863357543945,spei10
4.105068683624268,-5.083176136016846,spei11
3.984767198562622,-4.767177104949951,spei12
4.816770553588867,-7.4042534828186035,spei2
4.269760608673096,-6.0068359375,spei3
4.470871448516846,-5.414984703063965,spei4
3.9434444904327393,-4.180827617645264,spei5
4.090328693389893,-5.262356281280518,spei6
4.480373859405518,-5.476804256439209,spei7
4.173728942871094,-4.89680290222168,spei8
4.228659629821777,-5.2478346824646,spei9
3.5112905502319336,-4.25414514541626,spi1
3.7756407260894775,-5.166328430175781,spi10
3.800823450088501,-5.166328430175781,spi11
3.7613768577575684,-5.166328430175781,spi12
3.61236834526062,-5.166328430175781,spi2
3.8754634857177734,-4.698205471038818,spi3
3.9255459308624268,-5.166328430175781,spi4
3.624192237854004,-4.378952980041504,spi5
3.853606939315796,-4.32832670211792,spi6
4.125251770019531,-4.820525169372559,spi7
3.785505533218384,-5.166328430175781,spi8
3.7165656089782715,-5.166328430175781,spi9
